#curie_map:
#  PBPKO: http://purl.obolibrary.org/obo/PBPKO_
#  GO: http://purl.obolibrary.org/obo/GO_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  SBO: http://biomodels.net/SBO/
#  FMA: http://purl.obolibrary.org/obo/fma/FMA_
#  BTO: http://purl.obolibrary.org/obo/BTO_
subject_id	subject_label	predicate_id	object_id	mapping_justification	mapping_tool	creator_id	comment
PBPKO:00002	parameter	skos:closeMatch	SBO:0000005	semapv:ManualMappingCuration		0000-0003-0593-2598	PBPKO import refactor
PBPKO:00446	compartment	skos:closeMatch	SBO:0000290	semapv:ManualMappingCuration		0000-0003-0593-2598	PBPKO import refactor
PBPKO:00189	catalytic rate constant	skos:exactMatch	SBO:0000025	semapv:ManualMappingCuration		0000-0003-0593-2598	PBPKO import refactor
PBPKO:00212	Km intestine	skos:exactMatch	SBO:0000027	semapv:ManualMappingCuration		0000-0003-0593-2598	PBPKO import refactor
PBPKO:00214	Km liver	skos:exactMatch	SBO:0000027	semapv:ManualMappingCuration		0000-0003-0593-2598	PBPKO import refactor
PBPKO:00305	Km kidney	skos:exactMatch	SBO:0000027	semapv:ManualMappingCuration		0000-0003-0593-2598	PBPKO import refactor
PBPKO:00307	Km muscle	skos:exactMatch	SBO:0000027	semapv:ManualMappingCuration		0000-0003-0593-2598	PBPKO import refactor
PBPKO:00012	Blood flow	skos:exactMatch	GO:0008015	semapv:ManualMappingCuration		0000-0003-0593-2598	annotation-only GO xref
PBPKO:PBPKO:00006	physiological parameter	skos:closeMatch	http://snomed.info/id/398060001	semapv:ManualMappingCuration		0000-0003-0593-2598	migrated from inline annotation
PBPKO:PBPKO:00007	body mass index	skos:closeMatch	http://www.ebi.ac.uk/efo/EFO:0004340	semapv:ManualMappingCuration		0000-0003-0593-2598	migrated from inline annotation
PBPKO:PBPKO:00008	bodyweight	skos:closeMatch	CMO:0000012	semapv:ManualMappingCuration		0000-0003-0593-2598	migrated from inline annotation
